substance_name,matchable,llm_kingdom,llm_superclass,llm_class,llm_subclass,llm_direct_parent,confidence,emb_match,emb_score,agree,both_match
"{1-(ETHYLSULFONYL)-3-[4-(4,4,5,5-TETRAMETHYL-1,3,2-DIOXABOROLAN-2-YL)-1H-PYRAZOL-1-YL]AZETIDIN-3-YL}ACETONITRILE",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Pyrazoles,medium,NA,NA,FALSE,FALSE
"2,4-diphenylmethane-diisocyanate",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Isocyanates,Isocyanates,high,NA,NA,FALSE,FALSE
Citrus extract,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Alkanes, C14-17, chloro",TRUE,Organic compounds,Organohalogen compounds,Organochlorides,Alkyl halides,Alkyl chlorides,high,NA,NA,FALSE,FALSE
"Fatty acids, C7-13, perfluoro",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Perfluoroalkyl carboxylic acid and derivatives,high,NA,NA,FALSE,FALSE
"(S)Ammonium-(2E,4E)-11-methoxy-3,7,11-trimethyl-2,4-dodecadienoate",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Carboxylic acid salts,medium,NA,NA,FALSE,FALSE
"Stearic acid, esters with methyl α-D-glucoside",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acyl glycosides of mono- and disaccharides,medium,NA,NA,FALSE,FALSE
"Reaction product of Fatty acids, C18 alkyl with amines, polyethylenepoly-tetraethylenepentamine fraction",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,medium,NA,NA,FALSE,FALSE
"Reaction product of copper phthalocyanine, chlorosulphuric acid, 2-aminobenzene-1,4-disulphonic acid, 2,4,6-trichloro-1,3,5-triazine,sodium hydroxide",TRUE,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA,Phthalocyanines,low,NA,NA,FALSE,FALSE
"trans-(1R,2S)-2-(3,4-difluorophenyl-cyclopropanaminium (2R)-2-hydroxy-2-phenylethanoate",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Carboxylic acid salts,medium,NA,NA,FALSE,FALSE
Nonylphenol ether polyoxyethyleneglycol,TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Phenol ethers,medium,NA,NA,FALSE,FALSE
MCP-1596,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
NT-16,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Alkenes, C9-11, C10-rich",TRUE,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,NA,Olefins,high,NA,NA,FALSE,FALSE
"fatty acids, tall oils",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,medium,NA,NA,FALSE,FALSE
"4-(4-trans-vinyl-[1,1'-bicyclohexyl]-4'-trans-yl)-1,2-difluorobenzene",TRUE,Organic compounds,Hydrocarbon derivatives,Aryl halides,Organofluorides,Aryl fluorides,high,NA,NA,FALSE,FALSE
